0,1,2,3,4,5,6,7,8
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec,stop hour,stop min
5110,138-1,23분,2020-06-03,17,7,50,17,30
15111,138-1,24분,2020-06-03,17,7,52,17,31
15121,138-1,2분,2020-06-03,17,7,55,17,9
15283,138-1,2분,2020-06-03,17,7,57,17,9
15098,138-1,3분,2020-06-03,17,7,59,17,10
15081,138-1,4분,2020-06-03,17,8,1,17,12
15254,138-1,5분,2020-06-03,17,8,2,17,13
15073,138-1,9분,2020-06-03,17,8,4,17,17
15069,138-1,12분,2020-06-03,17,8,5,17,20
15085,138-1,15분,2020-06-03,17,8,7,17,23
15143,138-1,16분,2020-06-03,17,8,9,17,24
15072,138-1,11분,2020-06-03,17,8,10,17,19
15082,138-1,1분,2020-06-03,17,8,13,17,9
15097,138-1,3분,2020-06-03,17,8,15,17,11
15284,138-1,3분,2020-06-03,17,8,17,17,11
15122,138-1,4분,2020-06-03,17,8,19,17,12
15118,138-1,6분,2020-06-03,17,8,21,17,14
15115,138-1,8분,2020-06-03,17,8,22,17,16
15113,138-1,9분,2020-06-03,17,8,24,17,17
5112,138-1,10분,2020-06-03,17,8,25,17,18
5146,138-1,11분,2020-06-03,17,8,27,17,19
5147,138-1,12분,2020-06-03,17,8,29,17,20
5148,138-1,12분,2020-06-03,17,8,30,17,20
5149,138-1,13분,2020-06-03,17,8,32,17,21
5152,138-1,2분,2020-06-03,17,8,35,17,10
5154,138-1,3분,2020-06-03,17,8,37,17,11
5158,138-1,4분,2020-06-03,17,8,38,17,12
5193,138-1,6분,2020-06-03,17,8,40,17,14
5321,138-1,9분,2020-06-03,17,8,41,17,17
5277,138-1,11분,2020-06-03,17,8,43,17,19
5253,138-1,1분,2020-06-03,17,8,44,17,9
5257,138-1,2분,2020-06-03,17,8,46,17,10
5259,138-1,3분,2020-06-03,17,8,47,17,11
7034,138-1,6분,2020-06-03,17,8,49,17,14
7168,138-1,6분,2020-06-03,17,8,51,17,14
7035,138-1,8분,2020-06-03,17,8,52,17,16
7067,138-1,10분,2020-06-03,17,8,53,17,18
7043,138-1,10분,2020-06-03,17,8,55,17,18
5356,138-1,13분,2020-06-03,17,8,56,17,21
5357,138-1,14분,2020-06-03,17,8,58,17,22
5358,138-1,17분,2020-06-03,17,8,59,17,25
5190,138-1,6분,2020-06-03,17,9,1,17,15
5192,138-1,8분,2020-06-03,17,9,3,17,17
5340,138-1,10분,2020-06-03,17,9,4,17,19
5155,138-1,11분,2020-06-03,17,9,6,17,20
5153,138-1,13분,2020-06-03,17,9,7,17,22
5292,138-1,14분,2020-06-03,17,9,9,17,23
5101,138-1,15분,2020-06-03,17,9,10,17,24
5102,138-1,16분,2020-06-03,17,9,12,17,25
5103,138-1,17분,2020-06-03,17,9,14,17,26
5104,138-1,18분,2020-06-03,17,9,15,17,27
5108,138-1,19분,2020-06-03,17,9,17,17,28
5110,138-1,21분,2020-06-03,17,9,18,17,30
15111,138-1,21분,2020-06-03,17,9,20,17,30
15117,138-1,23분,2020-06-03,17,9,22,17,32
15121,138-1,1분,2020-06-03,17,9,23,17,10
15283,138-1,1분,2020-06-03,17,9,25,17,10
15098,138-1,2분,2020-06-03,17,9,27,17,11
15081,138-1,3분,2020-06-03,17,9,28,17,12
15254,138-1,4분,2020-06-03,17,9,30,17,13
15073,138-1,8분,2020-06-03,17,9,32,17,17
15069,138-1,12분,2020-06-03,17,9,33,17,21
15085,138-1,14분,2020-06-03,17,9,35,17,23
15143,138-1,16분,2020-06-03,17,9,36,17,25
15072,138-1,9분,2020-06-03,17,9,38,17,18
15255,138-1,10분,2020-06-03,17,9,40,17,19
15082,138-1,11분,2020-06-03,17,9,41,17,20
15097,138-1,1분,2020-06-03,17,9,43,17,10
15284,138-1,2분,2020-06-03,17,9,44,17,11
15122,138-1,3분,2020-06-03,17,9,46,17,12
15118,138-1,5분,2020-06-03,17,9,48,17,14
15115,138-1,7분,2020-06-03,17,9,49,17,16
15113,138-1,6분,2020-06-03,17,9,51,17,15
5112,138-1,7분,2020-06-03,17,9,52,17,16
5146,138-1,8분,2020-06-03,17,9,54,17,17
5147,138-1,9분,2020-06-03,17,9,56,17,18
5148,138-1,10분,2020-06-03,17,9,57,17,19
5149,138-1,11분,2020-06-03,17,9,59,17,20
5150,138-1,11분,2020-06-03,17,10,0,17,21
5152,138-1,1분,2020-06-03,17,10,2,17,11
5154,138-1,2분,2020-06-03,17,10,3,17,12
5158,138-1,4분,2020-06-03,17,10,5,17,14
5193,138-1,6분,2020-06-03,17,10,7,17,16
5321,138-1,9분,2020-06-03,17,10,8,17,19
5277,138-1,11분,2020-06-03,17,10,10,17,21
5253,138-1,1분,2020-06-03,17,10,11,17,11
5257,138-1,2분,2020-06-03,17,10,13,17,12
5259,138-1,3분,2020-06-03,17,10,14,17,13
7034,138-1,6분,2020-06-03,17,10,16,17,16
7168,138-1,6분,2020-06-03,17,10,17,17,16
7035,138-1,8분,2020-06-03,17,10,19,17,18
7067,138-1,9분,2020-06-03,17,10,20,17,19
7043,138-1,9분,2020-06-03,17,10,22,17,19
5356,138-1,12분,2020-06-03,17,10,23,17,22
5357,138-1,13분,2020-06-03,17,10,25,17,23
5358,138-1,16분,2020-06-03,17,10,27,17,26
5190,138-1,5분,2020-06-03,17,10,28,17,15
5192,138-1,7분,2020-06-03,17,10,30,17,17
5340,138-1,9분,2020-06-03,17,10,31,17,19
5155,138-1,10분,2020-06-03,17,10,33,17,20
5153,138-1,12분,2020-06-03,17,10,34,17,22
5292,138-1,13분,2020-06-03,17,10,36,17,23
5101,138-1,14분,2020-06-03,17,10,37,17,24
5102,138-1,15분,2020-06-03,17,10,39,17,25
5103,138-1,17분,2020-06-03,17,10,40,17,27
5104,138-1,17분,2020-06-03,17,10,42,17,27
5108,138-1,18분,2020-06-03,17,10,43,17,28
5110,138-1,20분,2020-06-03,17,10,45,17,30
