0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
5268,68,5분,2020-06-03,17,13,55
5069,68,7분,2020-06-03,17,13,57
5109,68,1분,2020-06-03,17,13,59
5283,68,2분,2020-06-03,17,14,00
5345,68,3분,2020-06-03,17,14,02
15111,68,1분,2020-06-03,17,14,05
15116,68,2분,2020-06-03,17,14,06
15125,68,4분,2020-06-03,17,14,08
15153,68,1분,2020-06-03,17,14,11
15163,68,3분,2020-06-03,17,14,13
15166,68,5분,2020-06-03,17,14,14
15173,68,1분,2020-06-03,17,14,17
15176,68,2분,2020-06-03,17,14,19
15216,68,3분,2020-06-03,17,14,20
15188,68,3분,2020-06-03,17,14,22
15201,68,5분,2020-06-03,17,14,24
15198,68,5분,2020-06-03,17,14,25
10075,68,1분,2020-06-03,17,14,27
10088,68,3분,2020-06-03,17,14,29
10084,68,4분,2020-06-03,17,14,31
10232,68,5분,2020-06-03,17,14,32
10077,68,3분,2020-06-03,17,14,34
10078,68,7분,2020-06-03,17,14,36
10081,68,3분,2020-06-03,17,14,37
10087,68,4분,2020-06-03,17,14,39
10092,68,5분,2020-06-03,17,14,40
10093,68,6분,2020-06-03,17,14,42
15199,68,9분,2020-06-03,17,14,44
15189,68,1분,2020-06-03,17,14,47
15196,68,2분,2020-06-03,17,14,48
15186,68,3분,2020-06-03,17,14,50
15175,68,4분,2020-06-03,17,14,52
15174,68,5분,2020-06-03,17,14,53
15168,68,1분,2020-06-03,17,14,55
15165,68,2분,2020-06-03,17,14,56
15164,68,3분,2020-06-03,17,14,58
15154,68,4분,2020-06-03,17,15,00
15152,68,4분,2020-06-03,17,15,01
15124,68,1분,2020-06-03,17,15,03
15118,68,2분,2020-06-03,17,15,04
15115,68,4분,2020-06-03,17,15,06
5112,68,1분,2020-06-03,17,15,09
5343,68,2분,2020-06-03,17,15,10
5144,68,3분,2020-06-03,17,15,12
5060,68,4분,2020-06-03,17,15,14
5006,68,6분,2020-06-03,17,15,15
5195,68,1분,2020-06-03,17,15,19
5319,68,1분,2020-06-03,17,15,20
5236,68,2분,2020-06-03,17,15,22
5234,68,3분,2020-06-03,17,15,23
5230,68,1분,2020-06-03,17,15,25
5215,68,3분,2020-06-03,17,15,26
3149,68,4분,2020-06-03,17,15,28
7079,68,4분,2020-06-03,17,15,29
7045,68,6분,2020-06-03,17,15,31
3150,68,1분,2020-06-03,17,15,34
5227,68,1분,2020-06-03,17,15,37
5712,68,3분,2020-06-03,17,15,39
5710,68,3분,2020-06-03,17,15,41
5190,68,7분,2020-06-03,17,15,42
5268,68,1분,2020-06-03,17,15,46
5069,68,3분,2020-06-03,17,15,48
5283,68,1분,2020-06-03,17,15,51
5345,68,3분,2020-06-03,17,15,52
5110,68,3분,2020-06-03,17,15,54
15111,68,3분,2020-06-03,17,15,56
15125,68,2분,2020-06-03,17,15,59
15151,68,4분,2020-06-03,17,16,00
15153,68,4분,2020-06-03,17,16,02
15163,68,2분,2020-06-03,17,16,04
15166,68,3분,2020-06-03,17,16,05
15167,68,4분,2020-06-03,17,16,07
15173,68,1분,2020-06-03,17,16,08
15176,68,2분,2020-06-03,17,16,10
15188,68,2분,2020-06-03,17,16,13
15201,68,3분,2020-06-03,17,16,15
15198,68,4분,2020-06-03,17,16,17
10075,68,6분,2020-06-03,17,16,18
10088,68,1분,2020-06-03,17,16,20
10084,68,1분,2020-06-03,17,16,22
10232,68,2분,2020-06-03,17,16,23
10078,68,3분,2020-06-03,17,16,26
10081,68,3분,2020-06-03,17,16,28
10092,68,1분,2020-06-03,17,16,31
10093,68,1분,2020-06-03,17,16,33
15199,68,4분,2020-06-03,17,16,35
15200,68,5분,2020-06-03,17,16,36
15189,68,6분,2020-06-03,17,16,38
15186,68,1분,2020-06-03,17,16,42
15175,68,2분,2020-06-03,17,16,44
15174,68,3분,2020-06-03,17,16,45
15168,68,4분,2020-06-03,17,16,47
15165,68,5분,2020-06-03,17,16,48
15154,68,1분,2020-06-03,17,16,51
15152,68,2분,2020-06-03,17,16,53
15124,68,4분,2020-06-03,17,16,54
15115,68,2분,2020-06-03,17,16,58
15113,68,3분,2020-06-03,17,16,59
5112,68,4분,2020-06-03,17,17,01
5343,68,1분,2020-06-03,17,17,03
5144,68,2분,2020-06-03,17,17,04
5060,68,3분,2020-06-03,17,17,06
5006,68,5분,2020-06-03,17,17,08
5269,68,6분,2020-06-03,17,17,09
5195,68,7분,2020-06-03,17,17,11
5319,68,2분,2020-06-03,17,17,13
5234,68,1분,2020-06-03,17,17,16
5230,68,3분,2020-06-03,17,17,17
5215,68,5분,2020-06-03,17,17,19
3149,68,1분,2020-06-03,17,17,21
7079,68,2분,2020-06-03,17,17,22
7045,68,4분,2020-06-03,17,17,24
3145,68,6분,2020-06-03,17,17,25
5221,68,1분,2020-06-03,17,17,28
5712,68,1분,2020-06-03,17,17,32
5710,68,2분,2020-06-03,17,17,34
5190,68,6분,2020-06-03,17,17,36
5194,68,8분,2020-06-03,17,17,37
5268,68,9분,2020-06-03,17,17,39
5069,68,1분,2020-06-03,17,17,41
5109,68,3분,2020-06-03,17,17,42
5283,68,4분,2020-06-03,17,17,44
5345,68,1분,2020-06-03,17,17,45
5110,68,2분,2020-06-03,17,17,47
15111,68,2분,2020-06-03,17,17,49
15116,68,4분,2020-06-03,17,17,50
15151,68,2분,2020-06-03,17,17,53
15153,68,3분,2020-06-03,17,17,55
15163,68,5분,2020-06-03,17,17,57
15166,68,1분,2020-06-03,17,17,58
15167,68,2분,2020-06-03,17,18,00
15173,68,3분,2020-06-03,17,18,02
15176,68,1분,2020-06-03,17,18,03
15216,68,2분,2020-06-03,17,18,05
15188,68,1분,2020-06-03,17,18,06
15201,68,2분,2020-06-03,17,18,08
15198,68,3분,2020-06-03,17,18,10
10075,68,5분,2020-06-03,17,18,11
10088,68,7분,2020-06-03,17,18,13
10084,68,8분,2020-06-03,17,18,15
10232,68,1분,2020-06-03,17,18,16
10078,68,3분,2020-06-03,17,18,20
10081,68,3분,2020-06-03,17,18,21
10087,68,4분,2020-06-03,17,18,23
10092,68,5분,2020-06-03,17,18,25
15199,68,3분,2020-06-03,17,18,28
15200,68,4분,2020-06-03,17,18,30
15189,68,5분,2020-06-03,17,18,31
15196,68,6분,2020-06-03,17,18,33
15175,68,2분,2020-06-03,17,18,36
15174,68,2분,2020-06-03,17,18,38
15168,68,4분,2020-06-03,17,18,39
15165,68,5분,2020-06-03,17,18,41
15164,68,6분,2020-06-03,17,18,42
15154,68,1분,2020-06-03,17,18,44
15152,68,2분,2020-06-03,17,18,46
15124,68,4분,2020-06-03,17,18,47
15118,68,5분,2020-06-03,17,18,49
15113,68,1분,2020-06-03,17,18,52
5112,68,2분,2020-06-03,17,18,53
5343,68,3분,2020-06-03,17,18,55
5060,68,2분,2020-06-03,17,18,58
5006,68,3분,2020-06-03,17,19,00
5269,68,5분,2020-06-03,17,19,01
5195,68,6분,2020-06-03,17,19,03
5236,68,2분,2020-06-03,17,19,06
5234,68,3분,2020-06-03,17,19,08
5230,68,1분,2020-06-03,17,19,09
5215,68,3분,2020-06-03,17,19,11
3149,68,5분,2020-06-03,17,19,13
7045,68,2분,2020-06-03,17,19,16
3145,68,4분,2020-06-03,17,19,17
3150,68,5분,2020-06-03,17,19,19
5227,68,1분,2020-06-03,17,19,22
5710,68,1분,2020-06-03,17,19,25
5190,68,4분,2020-06-03,17,19,27
5194,68,7분,2020-06-03,17,19,29
5268,68,8분,2020-06-03,17,19,30
5069,68,1분,2020-06-03,17,19,32
5109,68,3분,2020-06-03,17,19,34
5283,68,4분,2020-06-03,17,19,35
5345,68,5분,2020-06-03,17,19,37
5110,68,6분,2020-06-03,17,19,38
15111,68,7분,2020-06-03,17,19,40
15116,68,1분,2020-06-03,17,19,42
15125,68,3분,2020-06-03,17,19,43
15151,68,4분,2020-06-03,17,19,45
15163,68,2분,2020-06-03,17,19,48
15166,68,4분,2020-06-03,17,19,50
15173,68,2분,2020-06-03,17,19,53
15176,68,3분,2020-06-03,17,19,55
15216,68,4분,2020-06-03,17,19,56
15188,68,1분,2020-06-03,17,19,58
15198,68,1분,2020-06-03,17,20,01
10075,68,3분,2020-06-03,17,20,03
10088,68,5분,2020-06-03,17,20,05
10084,68,6분,2020-06-03,17,20,06
10078,68,3분,2020-06-03,17,20,11
10087,68,1분,2020-06-03,17,20,15
10092,68,2분,2020-06-03,17,20,16
10093,68,2분,2020-06-03,17,20,18
15199,68,2분,2020-06-03,17,20,19
15200,68,3분,2020-06-03,17,20,21
15189,68,4분,2020-06-03,17,20,23
15196,68,5분,2020-06-03,17,20,25
15186,68,6분,2020-06-03,17,20,26
15174,68,1분,2020-06-03,17,20,29
15168,68,2분,2020-06-03,17,20,31
15165,68,3분,2020-06-03,17,20,32
15164,68,4분,2020-06-03,17,20,34
15154,68,6분,2020-06-03,17,20,35
15124,68,2분,2020-06-03,17,20,38
15118,68,3분,2020-06-03,17,20,40
15115,68,5분,2020-06-03,17,20,41
5343,68,1분,2020-06-03,17,20,46
5144,68,2분,2020-06-03,17,20,48
5006,68,1분,2020-06-03,17,20,51
5269,68,3분,2020-06-03,17,20,53
5195,68,3분,2020-06-03,17,20,54
5319,68,6분,2020-06-03,17,20,56
5234,68,1분,2020-06-03,17,20,59
5215,68,2분,2020-06-03,17,21,02
3149,68,3분,2020-06-03,17,21,04
7079,68,2분,2020-06-03,17,21,06
7045,68,1분,2020-06-03,17,21,07
