0,1,2,3,4,5,6
BusStop_No,Bus_No,Predict_Arrive,Date,hour,min,sec
5193,138-1,8분,2020-06-03,17,07,11
5321,138-1,11분,2020-06-03,17,07,13
5277,138-1,1분,2020-06-03,17,07,15
5253,138-1,2분,2020-06-03,17,07,16
5257,138-1,4분,2020-06-03,17,07,18
5259,138-1,5분,2020-06-03,17,07,19
7034,138-1,7분,2020-06-03,17,07,21
7168,138-1,8분,2020-06-03,17,07,22
7035,138-1,9분,2020-06-03,17,07,24
7067,138-1,12분,2020-06-03,17,07,25
7043,138-1,12분,2020-06-03,17,07,27
5356,138-1,15분,2020-06-03,17,07,29
5357,138-1,16분,2020-06-03,17,07,30
5358,138-1,2분,2020-06-03,17,07,31
5190,138-1,9분,2020-06-03,17,07,33
5192,138-1,10분,2020-06-03,17,07,35
5340,138-1,13분,2020-06-03,17,07,36
5155,138-1,14분,2020-06-03,17,07,38
5153,138-1,16분,2020-06-03,17,07,39
5292,138-1,17분,2020-06-03,17,07,41
5101,138-1,18분,2020-06-03,17,07,42
5102,138-1,18분,2020-06-03,17,07,44
5103,138-1,20분,2020-06-03,17,07,46
5104,138-1,21분,2020-06-03,17,07,47
5108,138-1,22분,2020-06-03,17,07,49
5110,138-1,23분,2020-06-03,17,07,50
15111,138-1,24분,2020-06-03,17,07,52
15121,138-1,2분,2020-06-03,17,07,55
15283,138-1,2분,2020-06-03,17,07,57
15098,138-1,3분,2020-06-03,17,07,59
15081,138-1,4분,2020-06-03,17,08,01
15254,138-1,5분,2020-06-03,17,08,02
15073,138-1,9분,2020-06-03,17,08,04
15069,138-1,12분,2020-06-03,17,08,05
15085,138-1,15분,2020-06-03,17,08,07
15143,138-1,16분,2020-06-03,17,08,09
15072,138-1,11분,2020-06-03,17,08,10
15082,138-1,1분,2020-06-03,17,08,13
15097,138-1,3분,2020-06-03,17,08,15
15284,138-1,3분,2020-06-03,17,08,17
15122,138-1,4분,2020-06-03,17,08,19
15118,138-1,6분,2020-06-03,17,08,21
15115,138-1,8분,2020-06-03,17,08,22
15113,138-1,9분,2020-06-03,17,08,24
5112,138-1,10분,2020-06-03,17,08,25
5146,138-1,11분,2020-06-03,17,08,27
5147,138-1,12분,2020-06-03,17,08,29
5148,138-1,12분,2020-06-03,17,08,30
5149,138-1,13분,2020-06-03,17,08,32
5152,138-1,2분,2020-06-03,17,08,35
5154,138-1,3분,2020-06-03,17,08,37
5158,138-1,4분,2020-06-03,17,08,38
5193,138-1,6분,2020-06-03,17,08,40
5321,138-1,9분,2020-06-03,17,08,41
5277,138-1,11분,2020-06-03,17,08,43
5253,138-1,1분,2020-06-03,17,08,44
5257,138-1,2분,2020-06-03,17,08,46
5259,138-1,3분,2020-06-03,17,08,47
7034,138-1,6분,2020-06-03,17,08,49
7168,138-1,6분,2020-06-03,17,08,51
7035,138-1,8분,2020-06-03,17,08,52
7067,138-1,10분,2020-06-03,17,08,53
7043,138-1,10분,2020-06-03,17,08,55
5356,138-1,13분,2020-06-03,17,08,56
5357,138-1,14분,2020-06-03,17,08,58
5358,138-1,17분,2020-06-03,17,08,59
5190,138-1,6분,2020-06-03,17,09,01
5192,138-1,8분,2020-06-03,17,09,03
5340,138-1,10분,2020-06-03,17,09,04
5155,138-1,11분,2020-06-03,17,09,06
5153,138-1,13분,2020-06-03,17,09,07
5292,138-1,14분,2020-06-03,17,09,09
5101,138-1,15분,2020-06-03,17,09,10
5102,138-1,16분,2020-06-03,17,09,12
5103,138-1,17분,2020-06-03,17,09,14
5104,138-1,18분,2020-06-03,17,09,15
5108,138-1,19분,2020-06-03,17,09,17
5110,138-1,21분,2020-06-03,17,09,18
15111,138-1,21분,2020-06-03,17,09,20
15117,138-1,23분,2020-06-03,17,09,22
15121,138-1,1분,2020-06-03,17,09,23
15283,138-1,1분,2020-06-03,17,09,25
15098,138-1,2분,2020-06-03,17,09,27
15081,138-1,3분,2020-06-03,17,09,28
15254,138-1,4분,2020-06-03,17,09,30
15073,138-1,8분,2020-06-03,17,09,32
15069,138-1,12분,2020-06-03,17,09,33
15085,138-1,14분,2020-06-03,17,09,35
15143,138-1,16분,2020-06-03,17,09,36
15072,138-1,9분,2020-06-03,17,09,38
15255,138-1,10분,2020-06-03,17,09,40
15082,138-1,11분,2020-06-03,17,09,41
15097,138-1,1분,2020-06-03,17,09,43
15284,138-1,2분,2020-06-03,17,09,44
15122,138-1,3분,2020-06-03,17,09,46
15118,138-1,5분,2020-06-03,17,09,48
15115,138-1,7분,2020-06-03,17,09,49
15113,138-1,6분,2020-06-03,17,09,51
5112,138-1,7분,2020-06-03,17,09,52
5146,138-1,8분,2020-06-03,17,09,54
5147,138-1,9분,2020-06-03,17,09,56
5148,138-1,10분,2020-06-03,17,09,57
5149,138-1,11분,2020-06-03,17,09,59
5150,138-1,11분,2020-06-03,17,10,00
5152,138-1,1분,2020-06-03,17,10,02
5154,138-1,2분,2020-06-03,17,10,03
5158,138-1,4분,2020-06-03,17,10,05
5193,138-1,6분,2020-06-03,17,10,07
5321,138-1,9분,2020-06-03,17,10,08
5277,138-1,11분,2020-06-03,17,10,10
5253,138-1,1분,2020-06-03,17,10,11
5257,138-1,2분,2020-06-03,17,10,13
5259,138-1,3분,2020-06-03,17,10,14
7034,138-1,6분,2020-06-03,17,10,16
7168,138-1,6분,2020-06-03,17,10,17
7035,138-1,8분,2020-06-03,17,10,19
7067,138-1,9분,2020-06-03,17,10,20
7043,138-1,9분,2020-06-03,17,10,22
5356,138-1,12분,2020-06-03,17,10,23
5357,138-1,13분,2020-06-03,17,10,25
5358,138-1,16분,2020-06-03,17,10,27
5190,138-1,5분,2020-06-03,17,10,28
5192,138-1,7분,2020-06-03,17,10,30
5340,138-1,9분,2020-06-03,17,10,31
5155,138-1,10분,2020-06-03,17,10,33
5153,138-1,12분,2020-06-03,17,10,34
5292,138-1,13분,2020-06-03,17,10,36
5101,138-1,14분,2020-06-03,17,10,37
5102,138-1,15분,2020-06-03,17,10,39
5103,138-1,17분,2020-06-03,17,10,40
5104,138-1,17분,2020-06-03,17,10,42
5108,138-1,18분,2020-06-03,17,10,43
5110,138-1,20분,2020-06-03,17,10,45
15111,138-1,20분,2020-06-03,17,10,47
15117,138-1,22분,2020-06-03,17,10,48
15121,138-1,24분,2020-06-03,17,10,50
15098,138-1,1분,2020-06-03,17,10,53
15081,138-1,2분,2020-06-03,17,10,55
15254,138-1,3분,2020-06-03,17,10,56
15073,138-1,7분,2020-06-03,17,10,58
15069,138-1,11분,2020-06-03,17,10,59
15085,138-1,12분,2020-06-03,17,11,01
